STATECD,nkYear,UNITCD,COUNTYCD,PLOT,expectedfiaPlotID
33,2005,02,009,00018,3320050200900018
23,2003,03,017,00110,2320030301700110
33,2005,02,003,00163,3320050200300163
50,2005,02,023,00275,5020050202300275
33,2005,02,007,00781,3320050200700781
23,2003,09,017,00852,2320030901700852
33,2005,02,009,00904,3320050200900904
23,2003,09,017,01013,2320030901701013
36,2004,04,031,01088,3620040403101088
50,2005,02,017,01120,5020050201701120
23,2003,07,025,01505,2320030702501505
36,2004,04,031,02007,3620040403102007
36,2004,04,041,02413,3620040404102413
36,2004,04,041,02456,3620040404102456
36,2004,04,113,02486,3620040411302486
23,2003,07,025,02686,2320030702502686
36,2004,04,041,02703,3620040404102703
36,2004,04,031,02851,3620040403102851
23,2003,09,017,02963,2320030901702963
23,2003,09,007,03046,2320030900703046
23,2003,09,007,03313,2320030900703313
23,2003,09,007,03677,2320030900703677
36,2004,03,043,03762,3620040304303762
36,2004,03,043,03966,3620040304303966
36,2004,04,041,04669,3620040404104669
50,2005,02,009,0479,502005020090479
36,2004,04,113,05029,3620040411305029
36,2004,04,031,05127,3620040403105127
36,2004,04,031,05218,3620040403105218
36,2004,04,041,06138,3620040404106138
36,2004,03,035,06767,3620040303506767
