"MgmtID","StandID","Year","RmvCode","Age","Tpa","TPrdTpa","BA","SDI","CCF","TopHt","QMD","MCuFt","TPrdMCuFt","SCuFt","TPrdSCuFt","SBdFt","TPrdSBdFt","RTpa","RMCuFt","RSCuFt","RSBdFt","PrdLen","Acc","Mort","MAI","ForTyp","SizeCls","StkCls","RunTitle","CaseID"
"A011","360903105127","2009","0",105,2865,2865,119.487030029297,224,252,61,2.76524996757507,2148,2148,1299,1299,7440,7440,0,0,0,0,10,56.6107559204102,1.06413006782532,20.4571437835693,"801","1","1","Grow_2009","78ef0735-741b-4269-b6f0-74e5e0973873"
"A011","360903105127","2019","0",115,2464.92016601562,2464.92016601562,146.712661743164,285,307,66,3.30345606803894,2703.46606445312,2703.46606445312,1574.26306152344,1574.26306152344,9462.814453125,9462.814453125,0,0,0,0,0,0,0,23.5043487548828,"801","1","1","Grow_2009","78ef0735-741b-4269-b6f0-74e5e0973873"
"A011","360903105218","2009","0",95,2622,2622,122.238731384277,236,218,70,2.92364311218262,2337,2337,1639.80004882812,1639.80004882812,9456,9456,0,0,0,0,10,87.065673828125,1.37144327163696,24.6000003814697,"801","1","1","Grow_2009","1fa3854d-08c3-418d-8796-5d390c2b353f"
"A011","360903105218","2019","0",105,2410.06616210938,2410.06616210938,164.200836181641,330,298,78,3.53434896469116,3193.94213867188,3193.94213867188,2092.357421875,2092.357421875,12044.427734375,12044.427734375,0,0,0,0,0,0,0,30.4190483093262,"105","1","1","Grow_2009","1fa3854d-08c3-418d-8796-5d390c2b353f"
"A011","360903506767","2009","0",86,762,762,206.015335083008,359,358,87,7.04058313369751,5493,5493,3565.2001953125,3565.2001953125,20910,20910,0,0,0,0,10,119.279083251953,23.4476451873779,63.8720932006836,"801","1","1","Grow_2009","ecebc730-74c6-469b-947e-52710386ae69"
"A011","360903506767","2019","0",96,426.533905029297,426.533905029297,215.016571044922,364,362,94,9.61380863189697,6451.31396484375,6451.31396484375,4351.431640625,4351.431640625,26453.89453125,26453.89453125,0,0,0,0,0,0,0,67.1979141235352,"801","1","1","Grow_2009","ecebc730-74c6-469b-947e-52710386ae69"
"A011","360904102703","2009","0",95,3519,3519,114.611030578613,238,163,71,2.44365501403809,2331.73706054688,2331.73706054688,1530,1530,8988,8988,0,0,0,0,10,51.6115646362305,6.51950120925903,24.5473690032959,"801","1","1","Grow_2009","0cd7d4fd-4db2-4a0a-a2dd-ed9c5cce4c9f"
"A011","360904102703","2019","0",105,2624.57666015625,2624.57666015625,184.593032836914,400,281,81,3.59099078178406,2782.65844726562,2782.65844726562,1861.97399902344,1861.97399902344,10868.3486328125,10868.3486328125,0,0,0,0,0,0,0,26.5047626495361,"123","1","1","Grow_2009","0cd7d4fd-4db2-4a0a-a2dd-ed9c5cce4c9f"
"A011","360904303762","2009","0",86,2232,2232,177.877471923828,320,397,89,3.82251930236816,4302.599609375,4302.599609375,3523.80004882812,3523.80004882812,21924,21924,0,0,0,0,10,50.9668350219727,21.2836093902588,50.0348854064941,"801","1","1","Grow_2009","e26e1c7c-47b9-48f1-901d-de7363022739"
"A011","360904303762","2019","0",96,939.11376953125,939.11376953125,179.108123779297,310,376,92,5.91336631774902,4599.43212890625,4599.43212890625,3851.7255859375,3851.7255859375,24597.201171875,24597.201171875,0,0,0,0,0,0,0,47.90625,"801","1","1","Grow_2009","e26e1c7c-47b9-48f1-901d-de7363022739"
"A011","500902300275","2009","0",86,1335,1335,105.060577392578,155,146,94,3.79853010177612,3772.2001953125,3772.2001953125,3396.59985351562,3396.59985351562,22086,22086,0,0,0,0,10,50.3405570983887,0.0892104059457779,43.860466003418,"801","1","2","Grow_2009","c9ee01b3-fa50-4040-9236-833367c35052"
"A011","500902300275","2019","0",96,1311.94799804688,1311.94799804688,128.433563232422,216,226,99,4.23659801483154,4274.71337890625,4274.71337890625,3831.513671875,3831.513671875,25111.8359375,25111.8359375,0,0,0,0,0,0,0,44.53125,"801","1","2","Grow_2009","c9ee01b3-fa50-4040-9236-833367c35052"
