FIA plot code,NK_INVYR,STATECD,INVYR,CYCLE,SUBCYCLE,CONDID,UNITCD,COUNTYCD,PLOT
2320030901700110,2003,23,1999,5,1,1,09,017,00110
2320030702501505,2003,23,2001,5,3,1,07,025,01505
2320030901700852,2003,23,2001,5,3,1,09,017,00852
2320030901701013,2003,23,2001,5,3,1,09,017,01013
2320030702502686,2003,23,2002,5,4,1,07,025,02686
2320030900702261,2003,23,2002,5,4,1,09,007,02261
2320030900703046,2003,23,2003,5,5,1,09,007,03046
2320030900703313,2003,23,2003,5,5,1,09,007,03313
2320030900703677,2003,23,2003,5,5,1,09,007,03677
2320030901702963,2003,23,2003,5,5,1,09,017,02963
3320050200300163,2005,33,2002,6,1,1,02,003,00163
3320050200700781,2005,33,2002,6,1,1,02,007,00781
3320050200900904,2005,33,2002,6,1,1,02,009,00904
3320050200900018,2005,33,2004,6,3,1,02,009,00018
3620040403101088,2004,36,2002,5,1,1,04,031,01088
3620040403102851,2004,36,2002,5,1,1,04,031,02851
3620040404102456,2004,36,2002,5,1,1,04,041,02456
3620040404104669,2004,36,2002,5,1,1,04,041,04669
3620040411302486,2004,36,2002,5,1,1,04,113,02486
3620040303506767,2004,36,2003,5,2,1,03,035,06767
3620040304303762,2004,36,2003,5,2,1,03,043,03762
3620040304303966,2004,36,2003,5,2,1,03,043,03966
3620040403102007,2004,36,2003,5,2,1,04,031,02007
3620040403105127,2004,36,2003,5,2,1,04,031,05127
3620040403105218,2004,36,2003,5,2,1,04,031,05218
3620040404102413,2004,36,2003,5,2,1,04,041,02413
3620040404102703,2004,36,2003,5,2,1,04,041,02703
3620040404106138,2004,36,2003,5,2,1,04,041,06138
3620040411305029,2004,36,2003,5,2,1,04,113,05029
5020050201701120,2005,50,2004,6,2,1,02,017,01120
5020050202300275,2005,50,2004,6,2,1,02,023,00275
5020050200900479,2005,50,2005,6,3,1,02,009,00479
