"","StandID","Year","Aboveground_Total_Live","AGMgha"
"1","0025200305010100300038",2003,13.0448808670044,29.2427094395638
"2","0025200405020100300675",2004,39.1957359313965,87.8650812374115
"3","0025200405020100301224",2004,24.1236381530762,54.0779596477509
"4","0025200505030101300858",2005,27.5431575775146,61.7434963415145
"5","0025200605040100300338",2006,22.609619140625,50.6839832275391
"6","0025200605040101300212",2006,42.3390960693359,94.9115516586303
"7","0025200605040101300259",2006,35.5798072814941,79.7592539829253
"8","0025200705050101500191",2007,29.5584506988525,66.2611789316176
"9","0025200806010100300038",2008,15.0442581176758,33.7247134223938
"10","0025200806010100300088",2008,32.3828201293945,72.5925678840637
"11","0025200806010101500154",2008,26.7511386871338,59.9680275949478
"12","0025200906020100301224",2009,25.4581813812256,57.0696052022934
"13","0025200906020101100026",2009,39.4312858581543,88.3931135082245
"14","0025201006030100300391",2010,22.2713088989258,49.925593158722
"15","0025201106040100300338",2011,25.15061378479,56.3801309213637
"16","0025201106040101101093",2011,24.5538787841797,55.0424300704956
"17","0025201106040101300259",2011,35.9650268554688,80.6228007019044
"18","0025201106040101300947",2011,36.6524543762207,82.1638069751739
"19","0025201206050101500191",2012,30.7887668609619,69.0191786722183
"20","0025201307010100300038",2013,17.6359558105469,39.534522140503
"21","0025201307010101500154",2013,31.0072612762451,69.5089776029586
"22","0025201407020100301224",2014,28.3047256469727,63.4507034828187
"23","0025201407020101100026",2014,40.7191734313965,91.2801710811615
"24","0025201507030100300391",2015,30.2124404907227,67.7272278480531
"25","0025201607040100300014",2016,16.249927520752,36.4274625232698
"26","0025201607040101101005",2016,45.1170692443848,101.138934125137
"27","0025201707050100300338",2017,27.5940284729004,61.8575336277008
"28","0025201707050101100973",2017,68.8370742797852,154.312069412994
"29","0025201707050101101093",2017,23.4725322723389,52.6183755949021
"30","0025201707050101300259",2017,34.7891082763672,77.9867440231323
"31","0025201707050101300947",2017,35.7518272399902,80.144871123886
"32","0025201807060101500191",2018,38.2960624694824,85.8482832378387
"33","0025201907070100300171",2019,22.2331008911133,49.8399422676087
