Year,NoManagement,ClearcutHigh,ClearcutLow,ShelterwoodHigh,ShelterwoodLow,ITS_LowHigh,ITS_LowLow,ITS_HighHigh,ITS_HighLow
2005,117,116,116,117,116,118,118,118,118
2015,127,47,47,82,80,82,86,94,97
2025,135,41,41,70,70,84,91,97,103
2035,142,44,44,66,66,84,86,98,99
2045,147,55,55,71,70,87,94,102,106
2055,152,69,69,80,79,89,105,105,115
2065,156,79,79,87,87,86,92,104,106
2075,159,85,87,92,92,87,97,106,112
2085,162,63,93,94,98,91,108,108,121
2095,165,51,98,91,102,90,95,109,112
2105,168,56,104,90,107,92,101,111,118
2115,170,68,108,93,110,95,110,114,126
2125,172,84,76,99,100,94,99,114,117
2135,174,96,65,104,95,96,104,116,122
2145,177,103,69,109,94,100,114,119,132
2155,178,108,79,114,95,99,103,118,121
2165,176,108,86,115,97,101,102,120,120
