Year,Total_Carbon,Aboveground_Carbon,Aboveground_Live,NK_Fig2_NoManagement
2005,148.00013184547424,108.29316590871896,91.99772357940675,117
2015,182.81899929046628,137.10991302132607,117.45244765281677,127
2025,217.92102909088132,164.87287332117566,123.1139791011811,135
2035,234.66450881958005,177.47738137841222,128.8671505451202,142
2045,246.05096578598022,185.74693363904956,134.2673311233521,147
2055,254.63666486740112,191.93593552708623,139.39024448394773,152
2065,262.1142764091491,197.4608768820763,144.18195915222168,156
2075,268.5267963409424,202.25105118751532,148.21028876304632,159
2085,274.01680517196655,206.3592020273209,151.9048368930817,162
2095,278.3908438682556,209.54492342472076,154.99656581878662,165
2105,282.16743326187134,212.2754531502723,158.0983891487121,168
2115,285.4634065628052,214.62483841180807,160.82372355461126,170
2125,288.36542224884033,216.66885632276538,163.4799466133118,172
2135,291.117787361145,218.5870963931084,165.85305523872378,174
2145,293.5295066833496,220.2178926467896,167.98504686355597,177
2155,295.7289166450501,221.66983923316013,169.9855628013612,178
2165,298.9590311050415,224.17727568745607,173.04960107803336,176
